Welcome to the DougScore!,,,WEEKEND,,,,,TOTAL,DAILY,,,,,TOTAL,DOUGSCORE,Video Link,Filming Location,,Vehicle Country
,,,Styling,Acceleration,Handling,Fun Factor,Cool Factor,,Features,Comfort,Quality,Practicality,Value,,,,,,
,,,,,,,,,,,,,,,,,,,
2005,Bentley,Continental GT,7,6,6,6,6,31,4,8,7,4,7,30,61,27:15,Rancho Santa Fe,California,UK
2018,Cadillac,CT6,6,4,5,4,4,23,9,8,8,5,7,37,60,23:47,Tustin,California,USA
2011,Porsche,911 Speedster,7,7,7,7,7,35,4,6,8,2,5,25,60,11:29,Upland,California,Germany
1990,Ferrari,F40,10,8,9,10,10,47,1,1,3,1,7,13,60,26:44,Philadelphia,Pennsylvania,Italy
2017,Tesla,Model 3,5,5,5,4,5,24,9,7,6,6,7,35,59,32:19,San Jose,California,USA
2018,Audi,Q7 3.0 T,6,4,4,3,4,21,9,7,7,9,6,38,59,14:23,New Orleans, Louisiana,Germany
2017,Honda,Civic Type R,4,6,6,7,6,29,6,6,6,7,5,30,59,16:43,Mirabel,Quebec,Japan
2004,Mercedes-Benz,CLK DTM,7,8,8,8,7,38,3,3,7,3,5,21,59,27:23,Irvine,California,Germany
1996,BMW,850CSi,8,4,5,7,7,31,4,7,6,4,7,28,59,25:49,Morristown,New Jersey,Germany
2017,Genesis,G90,5,5,5,4,4,23,8,8,8,5,7,36,59,27:28,Annapolis,Maryland,South Korea
2019,Volvo,S60 Polestar,6,7,5,4,4,26,8,7,7,5,5,32,58,24:14,San Diego,California,Sweden
2016,Maserati,GranTurismo MC,6,6,7,7,6,32,4,6,6,4,6,26,58,21:49,Boerne,Texas,Italy
2002,Bentley,Arnage T,6,5,4,5,6,26,4,9,7,5,7,32,58,24:30,Los Angeles,California,UK
2019,BMW,330i (G20),6,4,5,5,4,24,8,7,7,5,7,34,58,22:36,Santa Ana,California,Germany
2016,Mercedes-Benz,CLA45,6,6,6,7,5,30,5,5,7,5,6,28,58,21:10,Denver,Colorado,Germany
2019,Kia,K900,5,4,5,4,4,22,8,8,8,5,7,36,58,22:21,San Diego,California,South Korea
2018,Mercedes-Benz,SL450,6,6,6,6,5,29,8,7,7,3,4,29,58,22:49,Los Angeles,California,Germany
2018,Lincoln,Continental,6,5,4,4,4,23,8,8,8,5,6,35,58,20:24,Santa Ana,California,USA
2018,Subaru,WRX STI Type RA,6,4,7,7,6,30,6,6,6,5,5,28,58,24:36,Los Angeles,California,Japan
2003,Porsche,911 Carrera 4S,6,6,7,7,5,31,4,5,5,3,10,27,58,12:46,Nashville,Tennessee,Germany
2007,Mercedes-Benz,R63 AMG,4,7,5,4,6,26,5,7,6,9,5,32,58,17:43,Philadelphia,Pennsylvania,Germany
1993,Lancia,Delta Integrale Evo 2,7,5,7,7,8,34,3,5,4,6,6,24,58,24:27,Baltimore,Maryland,Italy
2016,Ariel,Atom 3,6,10,10,8,8,42,1,1,6,1,6,15,57,22:10,Upland,California,USA
2020,Ford,Explorer ST,5,5,4,3,3,20,7,7,7,10,6,37,57,24:36,Vista,California,USA
1994,Jaguar,XJ220,7,8,6,8,10,39,2,3,4,2,7,18,57,37:39,Long Island,New York,UK
2002,Chevrolet,C5 Corvette Z06,5,8,7,7,6,33,3,3,6,2,10,24,57,24:25,San Diego,California,USA
2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,8,33,57,32:10,Sacramento,California,USA
2018,Toyota,Land Cruiser,5,2,3,5,5,20,7,7,8,9,6,37,57,24:28,San Diego,California,Japan
2019,Hyundai,Veloster N,6,4,5,6,5,26,6,6,6,6,7,31,57,21:17,Willows,California,South Korea
1994,Toyota,Supra Turbo,8,6,6,6,7,33,2,5,7,3,7,24,57,23:52,Irvine,California,Japan
2003,Audi,RS6,7,7,6,6,6,32,4,6,4,5,6,25,57,23:49,Philadelphia,Pennsylvania,Germany
2019,Volvo,XC40 T5,7,3,4,3,4,21,8,7,7,7,7,36,57,24:16,Escondido,California,Sweden
2012,Mercedes-Benz,C63 AMG Black Series,6,8,7,7,6,34,5,4,5,3,6,23,57,20:29,Cherry Hill,New Jersey,Germany
2005,Spyker,C8 Spyder,7,7,6,7,7,34,3,3,8,2,7,23,57,27:35,Carlsbad,California,Netherlands
2017,Maserati,Levante,5,4,6,6,5,26,6,7,6,8,4,31,57,24:00,La Jolla,California,Italy
2017,Jaguar,F-Pace S,6,5,5,5,4,25,6,7,6,8,5,32,57,17:15,Nashville,Tennessee,UK
1997,Lamborghini,Diablo VT Roadster,9,7,6,8,9,39,2,3,3,2,7,17,56,28:53,Upland,California,Italy
2019,Volkswagen,Arteon,7,4,4,3,4,22,8,7,7,7,5,34,56,22:46,Santa Ana,California,Germany
2019,BMW,Z4 sDrive30i,7,5,6,6,5,29,7,5,7,2,6,27,56,21:21,Santa Ana,California,Germany
2002,Acura,NSX,7,6,8,8,7,36,2,3,7,2,6,20,56,10:32,Philadelphia,Pennsylvania,Japan
1998,Ferrari,F355,10,6,7,8,8,39,2,4,3,2,6,17,56,12:38,Peapack,New Jersey,Italy
2004,Honda,S2000,7,5,8,8,5,33,3,4,7,2,7,23,56,15:19,Shakopee,Minnesota,Japan
2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
2017,Infiniti ,Q50 Red Sport 400,5,7,5,5,3,25,6,7,6,5,6,30,55,21:09,San Diego,California,Japan
2019,Lexus,LX570,3,2,3,4,5,17,7,8,9,9,5,38,55,26:23,San Diego,California,Japan
2016,Nissan,370Z Nismo,6,5,7,6,6,30,5,5,7,3,5,25,55,22:08,Orlando,Florida,Japan
2010,Lexus ,LS 600hL,4,4,3,3,4,18,6,9,9,5,8,37,55,26:40,Yucaipa,California,Japan
2018,Mercedes-Benz,AMG GLE63 Coupe,4,7,5,6,3,25,6,6,6,7,5,30,55,19:58,Irvine,California,Germany
2019,Mazda,MX-5 Miata RF,7,4,8,7,5,31,5,5,6,2,6,24,55,23:30,San Diego,California,Japan
2004,BMW,M3 Coupe,7,6,7,6,5,31,3,6,5,4,6,24,55,15:30,Huntingdon Valley,Pennsylvania,Germany
2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
1963,Ferrari,250 GT Lusso,10,1,4,6,9,30,1,6,8,3,7,25,55,20:17,Dubai,UAE,Italy
2017,Volvo,XC90 Excellence,7,4,4,3,4,22,8,8,8,6,3,33,55,20:47,Bethesda,Maryland,Sweden
2012,Hyundai,Equus Ultimate,5,4,3,3,3,18,6,8,7,5,10,36,54,25:51,Middleburg,Virginia,South Korea
